Iteration|Model|Obs_Py1|Obs_Py2|Obs_P11|Obs_P10|Obs_P01|rho_latent|rho_Y1Y2|CalInt_PY1|CalInt_PY2|CalSlope_PY1|CalSlope_PY2|AUC_PY1|AUC_PY2|MSE_PY1|MSE_PY2|CalInt_P11|CalInt_P10|CalInt_P01|CalSlope_P11|CalSlope_P10|CalSlope_P01|AUC_P11|AUC_P10|AUC_P01|MSE_P11|MSE_P10|MSE_P01
1|"Univariate"|0.058|0.048|0.0273|0.0307|0.0207|0.95|0.490870888014844|0.0837081971264814|0.0359206888159013|0.933372488705456|1.0198084919477|0.67082143641555|0.763983718487395|3.18967872152193e-05|7.16195131571807e-05|2.47454188665145|-0.536521390291724|-0.78165107684506|0.68674812611342|1.32889917693358|1.61211746863727|0.693166673633416|0.746106781111726|0.878775187442869|0.000881383428992832|0.000605411050601372|0.000652320477459295
1|"SR"|0.058|0.048|0.0273|0.0307|0.0207|0.95|0.490870888014844|0.0855749804639875|0.0364020223592755|1.00477919752548|1.07075258086731|0.67082143641555|0.763983718487395|5.71941134878023e-05|0.000114099504527502|2.4652171857112|-0.533784221387086|-0.779832670732279|0.726482479276443|1.4299442391814|1.69325205828273|0.693215629167104|0.746345376343652|0.878738683008814|0.000886337833513818|0.000603803402528918|0.000658983939222318
1|"PCC"|0.058|0.048|0.0273|0.0307|0.0207|0.95|0.490870888014844|0.079775101749175|0.0379186581099739|0.829521128499638|1.01959595510128|0.665176989530712|0.765465029761905|0.000224250194666346|0.000194806716265871|0.0733305301236723|0.0855599528709256|-0.00774166518168681|1.01221878690233|0.833176658208232|1.03620892927196|0.702776644896517|0.781405097402303|0.885765293261331|7.98241051528171e-06|0.000213300418234915|0.000215639215215994
1|"MLR"|0.058|0.048|0.0273|0.0307|0.0207|0.95|0.490870888014844|0.0751984506836056|0.0335468757149023|0.781599930433433|0.993413885207007|0.659622227103009|0.764373030462185|0.000401512583084108|0.000255663487215441|0.0652087950973927|0.0844383788727833|-0.00738710761908425|1.17133272202142|0.793654584350237|1.00640366469164|0.695933791029915|0.775798445501657|0.886648305922943|5.46424156113775e-05|0.000317838920647285|0.000182910447027316
1|"MLM"|0.058|0.048|0.0273|0.0307|0.0207|0.95|0.490870888014844|0.357352602259644|0.315129593527851|1.13747708399961|1.23926127750678|0.670569953876565|0.738195903361345|0.00054937488797676|0.00143751878944625|0.954361775127121|0.0144459620663409|-0.171531978167241|1.11020134673068|1.54596789285953|1.55686591261096|0.679761895347379|0.733934391688014|0.812966078994609|0.000441055814426596|0.000521720681840157|0.00117266587382412
1|"MPM"|0.058|0.048|0.0273|0.0307|0.0207|0.95|0.490870888014844|0.0998349637717808|0.0694260846063229|0.878498641441101|1.0093779082096|0.670781719013105|0.764339548319328|3.99645297646394e-05|0.000137848770852246|0.154613595580142|0.0508360436315998|-0.0384833312016335|1.00497487146446|0.846595070391596|1.02676841801587|0.701952685606433|0.784786092653586|0.887221524198247|1.70073358117557e-05|1.26420420151937e-05|8.98554323065723e-05
2|"Univariate"|0.0563|0.0478|0.0262|0.0301|0.0216|0.95|0.476029046810397|0.0091785519567469|0.0303589968459253|1.01949977623911|0.910726888130047|0.681114602945099|0.768318951312046|4.60634027143822e-05|6.78817219610559e-06|2.23054366382916|-0.589772254846111|-0.725665556981493|0.52358041080292|1.32365391541685|1.44587648341913|0.685779248368319|0.738450961995945|0.883599167953726|0.00082194543168348|0.00087132238520766|0.000706658895920606
2|"SR"|0.0563|0.0478|0.0262|0.0301|0.0216|0.95|0.476029046810397|0.00905349465148745|0.0314071877560284|1.07092113083999|0.950975826295789|0.681114602945099|0.768318951312046|6.44918983586018e-05|9.55108147756428e-06|2.23460833376042|-0.59016655525347|-0.725016220914987|0.547517115526098|1.39031021510352|1.50983181509792|0.685740837421355|0.738580440700295|0.883588757911632|0.000829154882233356|0.000870292741004905|0.000683191319546589
2|"PCC"|0.0563|0.0478|0.0262|0.0301|0.0216|0.95|0.476029046810397|0.00587084315546992|0.0242744378403263|0.957428157029029|0.902158020471993|0.676013748084662|0.768809557079443|0.000137232662809818|7.84436384658686e-05|0.0285443407774976|-0.0129441390243381|0.0180802915550004|0.758915112696738|1.11050656521033|1.04699287046417|0.695108013150654|0.78963409934716|0.89193146028285|5.43849381743e-05|7.20885161514405e-05|0.000140113944263402
2|"MLR"|0.0563|0.0478|0.0262|0.0301|0.0216|0.95|0.476029046810397|0.00612975196275446|0.0281296627779546|0.898596001876116|0.884700479758123|0.670719971330866|0.768009603833096|0.000188629475083455|0.000176762031170814|0.0338171242715384|-0.0169429524039734|0.0195206944597945|0.816280302663248|1.06657216747259|0.983516533229286|0.687436798314308|0.785878531848507|0.892821992065655|6.51649513208002e-05|0.000110083306842475|0.000144992313002511
2|"MLM"|0.0563|0.0478|0.0262|0.0301|0.0216|0.95|0.476029046810397|0.0825354097188144|0.113230331304803|0.888043281369834|1.32156038825642|0.668798845705963|0.751108421897232|0.00030952423510262|0.00108989379480663|0.371284813020312|-0.121777417221819|-0.140406979791049|0.948238368218308|1.13114232837895|1.90007255827735|0.678887618975949|0.713720872001395|0.85473022849096|0.000163680059672376|0.000622166128946564|0.00108214747201957
